category,category_type,img_auc,pixel_auc
bottle,object,0.88,0.92312313
cable,object,0.56,0.855968617
capsule,object,0.76,0.9547285
carpet,texture,0.32,0.719095838110862
grid,texture,0.7200000000000001,0.915608898465526
hazelnut,object,0.8,0.97238175048624
leather,texture,0.88,0.5480931939802808
metal_nut,object,0.64,0.7600456953790089
pill,object,0.52,0.9268488335974844
screw,object,0.72,0.9773265252022667
tile,texture,0.56,0.4288084512362379
toothbrush,object,0.56,0.9366967550669859
transistor,object,0.6000000000000001,0.8003821611201013
wood,texture,0.8,0.8233565847798169
zipper,object,0.76,0.8982606475290498
